,symbol,concept,contexts,types,label
354,globeAmaranth,indifference,generalOrUnknown,Simulation,indifference
355,cane,kappaPsiKappa,heraldic,Simulation,Kappa Psi Kappa
356,canopicJars,anput,egyptian,Simulation,Anput
357,jackal,anput,egyptian,Simulation,Anput
358,mummyGauze,anput,egyptian,Simulation,Anput
359,canopus,homeOfAgastya,hindu,Simulation,home of Agastya
360,canterburyBell,acknowledgment,flowerLanguage,Simulation,acknowledgment
361,lavenderPlant,acknowledgment,generalOrUnknown,Simulation,acknowledgment
362,capsicumAnnuumVarGlabriusculum,texas,generalOrUnknown,Simulation,Texas
363,coatOfArmsOfTexas,texas,generalOrUnknown,Simulation,Texas
364,boutelouaCurtipendula,texas,generalOrUnknown,Simulation,Texas
365,flagOfTexas,texas,generalOrUnknown,Simulation,Texas
366,guadalupeBass,texas,generalOrUnknown,Simulation,Texas
367,houstonBlackSoil,texas,generalOrUnknown,Simulation,Texas
368,lupinusTexensis,texas,generalOrUnknown,Simulation,Texas
369,panDeCampo,texas,generalOrUnknown,Simulation,Texas
370,nineBandedArmadillo,texas,generalOrUnknown,Simulation,Texas
371,sealOfTexas,texas,generalOrUnknown,Simulation,Texas
372,westernSwing,texas,generalOrUnknown,Simulation,Texas
373,boloTie,texas,generalOrUnknown,Simulation,Texas
374,pecan,texas,generalOrUnknown,Simulation,Texas
375,northernMockingbird,texas,generalOrUnknown,Simulation,Texas
376,yellowRose,texas,generalOrUnknown,EmblematicSimulation,Texas
377,capstan,stErasmus,christian,AttributeSimulation,St. Erasmus
378,bishopHoldingAShipModel,stErasmus,christian,Simulation,St. Erasmus
379,nailsProtrudingFromFingers,stErasmus,christian,AttributeSimulation,St. Erasmus
380,saintWithHisIntestinesWoundAroundACapstan,stErasmus,christian,Simulation,St. Erasmus
381,carabao,thePhilippines,generalOrUnknown,Simulation,the Philippines
382,cariOsa,thePhilippines,generalOrUnknown,Simulation,the Philippines
383,arnis,thePhilippines,generalOrUnknown,Simulation,the Philippines
384,coatOfArmsOfThePhilippines,thePhilippines,generalOrUnknown,Simulation,the Philippines
385,barongTagalog,thePhilippines,generalOrUnknown,Simulation,the Philippines
386,baroTSaya,thePhilippines,generalOrUnknown,Simulation,the Philippines
387,flagOfThePhilippines,thePhilippines,generalOrUnknown,Simulation,the Philippines
388,flagOfThePresidentOfThePhilippines,thePhilippines,generalOrUnknown,Simulation,the Philippines
389,greatSealOfThePhilippines,thePhilippines,generalOrUnknown,Simulation,the Philippines
390,filipinoLanguage,thePhilippines,generalOrUnknown,Simulation,the Philippines
391,isangBansaIsangDiwa,thePhilippines,generalOrUnknown,Simulation,the Philippines
