symbol,concept,contexts,types
artist,theExternalizationOfInnerEmotionsThoughtsPurposes,generalOrUnknown,Simulation
arubaDushiTera,aruba,generalOrUnknown,Simulation
asado,argentina,generalOrUnknown,Simulation
ascalaphusSonOfAcheron,hades,generalOrUnknown,Simulation
ascending,anIncreaseInIntensity,generalOrUnknown,Simulation
ascending,aRaiseInValueOrWorth,generalOrUnknown,Simulation
ascending,breakingThroughToABetterPlaneOfExistence,generalOrUnknown,Simulation
asclepias,illinois,generalOrUnknown,Simulation
ase,SanyN,yoruba,Simulation
ashokaChakra,india,generalOrUnknown,Simulation
asianArowana,indonesia,generalOrUnknown,Simulation
asianElephant,laos,generalOrUnknown,Simulation
asianKoel,jharkhand,generalOrUnknown,Simulation
asiaticLion,gujarat,generalOrUnknown,Simulation
asíEsNuevoMXico,newMexico,generalOrUnknown,Simulation
aspalathus,theWisdomOfTheLord,generalOrUnknown,Simulation
asrafilArchangel,recordingAngel,islamic,Simulation
asSalamAlAmiri,qatar,generalOrUnknown,Simulation
asSalamAlMalaki,iraq,generalOrUnknown,Simulation
asSalamAsSultani,oman,generalOrUnknown,Simulation
astrodon,maryland,generalOrUnknown,Simulation
asWellAsLettuce,adonis,greek,Simulation
aSword,maahes,egyptian,Simulation
atef,anat,canaanite,Simulation
atefCrown,osiris,egyptian,Simulation
athanor,placeOfPhysicalMoralOrMysticalTransmutation,alchemic,Simulation
atlanticHorseshoeCrab,delaware,generalOrUnknown,Simulation
atlanticPuffin,newfoundlandAndLabrador,generalOrUnknown,Simulation
atlanticTarpon,alabama,generalOrUnknown,Simulation
atlas,strength,greek,Simulation
aton,theUniqueForceFromWhichAllLivingThingsCome,egyptian,Simulation
audemusJuraNostraDefendere,alabama,generalOrUnknown,Simulation
auferstandenAusRuinen,eastGermany,generalOrUnknown,Simulation
australianDefenceForceEnsign,australia,generalOrUnknown,Simulation
australianFlagDebate,australia,generalOrUnknown,Simulation
australianHonourFlag,australia,generalOrUnknown,Simulation
australianRedEnsign,australia,generalOrUnknown,Simulation
australianWhiteEnsign,australia,generalOrUnknown,Simulation
