symbol,label
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
axe,axe
appleFruit,apple (fruit)
appleFruit,apple (fruit)
appleFruit,apple (fruit)
appleFruit,apple (fruit)
appleFruit,apple (fruit)
armor,armor
armor,armor
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrowhead,arrowhead
arrowHeldByMaidenWithAMillstone,arrow held by maiden with a millstone
arrowInWomanWithGrievingHunter,arrow in woman with grieving hunter
arrowPiercingAHeart,arrow piercing a heart
arrowPiercingAStagProtectedByAMan,arrow piercing a stag protected by a man
arrowPiercingTheHand,arrow piercing the hand
arrowsHeldByARudelyDressedWoman,arrows held by a rudely dressed woman
arrowsPiercingANudeMan,arrows piercing a nude man
arrowWithCross,arrow with cross
arson,arson
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
artemisDiana,Artemis/Diana
arthurKing,"Arthur, King"
arthurKing,"Arthur, King"
articlesofconfederation,Articles of Confederation
articlesofconfederation,Articles of Confederation
arum,arum
arum,arum
asABrand,as a brand
asABrandOnTheThumb,as a brand on the thumb
asACarpetMotif,as a carpet motif
asAChaliceCover,as a chalice cover
asADayBird,as a day bird
asAGift,as a gift
asAKillerOfReptiles,as a killer of reptiles
asAMigratoryBird,as a migratory bird
asANightBird,as a night bird
asbestos,asbestos
bell,bell
bell,bell
bell,bell
bell,bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
belt,belt
belt,belt
belt,belt
belt,belt
beltOfThor,belt of Thor
benedictineMonkWithArmorAndCrownLyingBesideHim,Benedictine monk with armor and crown lying beside him
benedictineMonkWithBrokenFetters,Benedictine monk with broken fetters
benedictineMonkWithRedChasubleOverHisHabit,Benedictine monk with red chasuble over his habit
bengalTiger,Bengal tiger
bengalTiger,Bengal tiger
bentPole,bent pole
bighornSheep,Bighorn sheep
bighornSheep,Bighorn sheep
billingAndOrCooingDoves,billing and/or cooing doves
billows,billows
billows,billows
billyGoat,billy goat
billyGoat,billy goat
billyGoat,billy goat
billyGoat,billy goat
billyGoatWithAHumanHead,billy goat with a human head
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
bird,bird
birdAccompanyingAHero,bird accompanying a hero
birdCage,bird cage
birdDemon,bird demon
birdOfPreyFlyingFromLeftToRightBeforeABattle,bird of prey flying from left to right before a battle
birdPerchingInTheRigging,bird perching in the rigging
birdsDrinkingFromAVase,birds drinking from a vase
birdSEgg,bird’s egg
birdsInACage,birds in a cage
birdsInAVine,birds in a vine
birdsLinkedTogetherWithAGoldenChain,birds linked together with a golden chain
birdsOfPrey,birds of prey
birdsWithFood,birds with food
birdTappingAtAWindowOrFlyingIntoAHouse,bird tapping at a window or flying into a house
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstone,bloodstone
bloodstonePlacedInAGlassOfWaterDuringADrought,bloodstone placed in a glass of water during a drought
bloomingOutOfSeason,blooming out of season
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
